Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
67	KAL1	3730	1.4026	0.0001	Kallmann syndrome 1 sequence
68	PRKD1	5587	1.4022	0.0026	protein kinase D1
69	PTPN13	5783	1.3972	0.0007	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)
70	ZCCHC24	219654	1.3963	0.0098	zinc finger, CCHC domain containing 24
71	EFHA2	286097	1.3946	0.0031	EF-hand domain family, member A2
72	PARVA	55742	1.3933	0.0069	parvin, alpha
73	LPCAT2	54947	1.3911	0.0011	lysophosphatidylcholine acyltransferase 2
74	MACF1	23499	1.3898	0.0086	microtubule-actin crosslinking factor 1
75	FOXF2	2295	1.3882	0.0002	forkhead box F2
76	TMEM200A	114801	1.3862	0.0001	transmembrane protein 200A
77	CALD1	800	1.3860	0.0141	caldesmon 1
78	FILIP1L	11259	1.3837	0.0038	filamin A interacting protein 1-like
79	PAG1	55824	1.3836	0.0004	phosphoprotein associated with glycosphingolipid microdomains 1
80	RIN2	54453	1.3833	0.0037	Ras and Rab interactor 2
81	SLIT2	9353	1.3811	0.0016	slit homolog 2 (Drosophila)
82	PRICKLE1	144165	1.3774	0.0001	prickle homolog 1 (Drosophila)
83	PLSCR4	57088	1.3745	0.0169	phospholipid scramblase 4
84	IGIP	492311	1.3721	0.0114	IgA-inducing protein homolog (Bos taurus)
85	NEXN	91624	1.3634	0.0040	nexilin (F actin binding protein)
86	FBLN1	2192	1.3630	0.0141	fibulin 1
87	EMP1	2012	1.3630	0.0057	epithelial membrane protein 1
88	NRP1	8829	1.3457	0.0025	neuropilin 1
89	EID1	23741	1.3450	0.0167	EP300 interacting inhibitor of differentiation 1
90	SSBP2	23635	1.3432	0.0016	single-stranded DNA binding protein 2
91	GLT8D2	83468	1.3419	0.0116	glycosyltransferase 8 domain containing 2
92	KCTD10	83892	1.3374	0.0035	potassium channel tetramerisation domain containing 10
93	CPQ	10404	1.3344	0.0122	carboxypeptidase Q
94	STOM	2040	1.3329	0.0019	stomatin
95	MCC	4163	1.3301	0.0022	mutated in colorectal cancers
96	SGCD	6444	1.3269	0.0206	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
97	DLC1	10395	1.3267	0.0034	deleted in liver cancer 1
98	SEMA3C	10512	1.3264	0.0023	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
99	EDNRA	1909	1.3263	0.0031	endothelin receptor type A
100	MEF2C	4208	1.3254	0.0036	myocyte enhancer factor 2C
101	ANTXR1	84168	1.3233	0.0048	anthrax toxin receptor 1
102	LUM	4060	1.3228	0.0051	lumican
103	PRDM6	93166	1.3193	0.0004	PR domain containing 6
104	RBFOX2	23543	1.3181	0.0044	RNA binding protein, fox-1 homolog (C. elegans) 2
105	MEIS1	4211	1.3164	0.0003	Meis homeobox 1
106	ANKRD13A	88455	1.3151	0.0026	ankyrin repeat domain 13A
107	C20ORF194	25943	1.3149	0.0100	chromosome 20 open reading frame 194
108	RUNX1T1	862	1.3147	0.0057	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
109	CTSO	1519	1.3147	0.0209	cathepsin O
110	MXRA7	439921	1.3139	0.0047	matrix-remodelling associated 7
111	GALNT10	55568	1.3106	0.0008	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
112	TBC1D2B	23102	1.3104	0.0095	TBC1 domain family, member 2B
113	ARSJ	79642	1.3103	0.0025	arylsulfatase family, member J
114	RBMS1	5937	1.3086	0.0063	RNA binding motif, single stranded interacting protein 1
115	ARHGAP20	57569	1.3069	0.0023	Rho GTPase activating protein 20
116	ECM2	1842	1.3059	0.0088	extracellular matrix protein 2, female organ and adipocyte specific
117	PIK3R1	5295	1.3046	0.0031	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)
118	PDGFRA	5156	1.3028	0.0070	platelet-derived growth factor receptor, alpha polypeptide
119	PIK3IP1	113791	1.3023	0.0200	phosphoinositide-3-kinase interacting protein 1
120	GLIS3	169792	1.3017	0.0012	GLIS family zinc finger 3
121	MFAP4	4239	1.3014	0.0092	microfibrillar-associated protein 4
122	TSHZ3	57616	1.3013	0.0056	teashirt zinc finger homeobox 3
123	VGLL3	389136	1.3010	0.0042	vestigial like 3 (Drosophila)
124	NTN4	59277	1.2988	0.0021	netrin 4
125	ETV1	2115	1.2985	0.0045	ets variant 1
126	C1QTNF7	114905	1.2959	0.0019	C1q and tumor necrosis factor related protein 7
127	MMP2	4313	1.2956	0.0167	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
128	COLEC12	81035	1.2907	0.0020	collectin sub-family member 12
129	EHD2	30846	1.2905	0.0476	EH-domain containing 2
130	ANO6	196527	1.2887	0.0178	anoctamin 6
131	TMEM173	340061	1.2882	0.0041	transmembrane protein 173
132	SNAI2	6591	1.2881	0.0039	snail homolog 2 (Drosophila)
133	FBLN5	10516	1.2872	0.0058	fibulin 5
134	TIMP3	7078	1.2806	0.0110	TIMP metallopeptidase inhibitor 3
135	CTGF	1490	1.2785	0.0066	connective tissue growth factor
136	FHL1	2273	1.2782	0.0027	four and a half LIM domains 1
137	LOC401093	401093	1.2770	0.0010	uncharacterized LOC401093
138	PAM	5066	1.2744	0.0234	peptidylglycine alpha-amidating monooxygenase
139	RNF11	26994	1.2681	0.0372	ring finger protein 11
140	LAMA2	3908	1.2619	0.0037	laminin, alpha 2
141	GUCY1A3	2982	1.2614	0.0034	guanylate cyclase 1, soluble, alpha 3
142	FAM26E	254228	1.2608	0.0030	family with sequence similarity 26, member E
143	GHR	2690	1.2576	0.0018	growth hormone receptor
144	CD302	9936	1.2561	0.0078	CD302 molecule
145	CCDC80	151887	1.2558	0.0169	coiled-coil domain containing 80
146	PCSK5	5125	1.2528	0.0001	proprotein convertase subtilisin/kexin type 5
147	MAMDC2	256691	1.2490	0.0003	MAM domain containing 2
148	BNC2	54796	1.2479	0.0099	basonuclin 2
149	F2R	2149	1.2469	0.0033	coagulation factor II (thrombin) receptor
150	DOCK4	9732	1.2464	0.0044	dedicator of cytokinesis 4
151	TMEM43	79188	1.2463	0.0088	transmembrane protein 43
152	HNMT	3176	1.2460	0.0067	histamine N-methyltransferase
153	ARHGAP31	57514	1.2459	0.0040	Rho GTPase activating protein 31
154	TTC28	23331	1.2444	0.0064	tetratricopeptide repeat domain 28
155	ROBO2	6092	1.2383	0.0003	roundabout, axon guidance receptor, homolog 2 (Drosophila)
156	TWSG1	57045	1.2371	0.0160	twisted gastrulation homolog 1 (Drosophila)
157	PLAT	5327	1.2356	0.0023	plasminogen activator, tissue
158	CNRIP1	25927	1.2353	0.0055	cannabinoid receptor interacting protein 1
159	MOXD1	26002	1.2334	0.0044	monooxygenase, DBH-like 1
160	PTRF	284119	1.2326	0.0320	polymerase I and transcript release factor
161	TRIB2	28951	1.2321	0.0002	tribbles homolog 2 (Drosophila)
162	SLITRK6	84189	1.2297	0.0004	SLIT and NTRK-like family, member 6
163	TRIM22	10346	1.2290	0.0277	tripartite motif containing 22
164	SCD5	79966	1.2278	0.0001	stearoyl-CoA desaturase 5
165	NDN	4692	1.2260	0.0013	necdin homolog (mouse)
166	ARHGEF12	23365	1.2256	0.0097	Rho guanine nucleotide exchange factor (GEF) 12
167	TNS1	7145	1.2242	0.0181	tensin 1
168	EPB41L2	2037	1.2221	0.0021	erythrocyte membrane protein band 4.1-like 2
169	CHD9	80205	1.2211	0.0513	chromodomain helicase DNA binding protein 9
170	RAI14	26064	1.2202	0.0045	retinoic acid induced 14
171	SH3RF3	344558	1.2175	0.0005	SH3 domain containing ring finger 3
172	ZNF439	90594	1.2172	0.0023	zinc finger protein 439
173	SPRY2	10253	1.2170	0.0013	sprouty homolog 2 (Drosophila)
174	TLE4	7091	1.2169	0.0021	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)
175	MRC2	9902	1.2163	0.0283	mannose receptor, C type 2
176	THBS1	7057	1.2144	0.0123	thrombospondin 1
177	SYNPO2	171024	1.2143	0.0115	synaptopodin 2
178	TNS3	64759	1.2131	0.0051	tensin 3
179	ITGAV	3685	1.2104	0.0510	integrin, alpha V
180	TXNDC15	79770	1.2095	0.0170	thioredoxin domain containing 15
181	EFEMP2	30008	1.2095	0.0385	EGF containing fibulin-like extracellular matrix protein 2
182	IL6ST	3572	1.2093	0.0213	interleukin 6 signal transducer (gp130, oncostatin M receptor)
183	AMOT	154796	1.2087	0.0044	angiomotin
184	FMO3	2328	1.2080	0.0004	flavin containing monooxygenase 3
185	EVI5	7813	1.2076	0.0098	ecotropic viral integration site 5
186	CAMK2D	817	1.2069	0.0031	calcium/calmodulin-dependent protein kinase II delta
187	SNTB2	6645	1.2042	0.0027	syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)
188	ACTA2	59	1.2039	0.0117	actin, alpha 2, smooth muscle, aorta
189	LEPROT	54741	1.2031	0.0190	leptin receptor overlapping transcript
190	TPM1	7168	1.2029	0.0073	tropomyosin 1 (alpha)
191	PID1	55022	1.2026	0.0007	phosphotyrosine interaction domain containing 1
192	FAM208A	23272	1.1997	0.0575	family with sequence similarity 208, member A
193	TMEM167B	56900	1.1978	0.0345	transmembrane protein 167B
194	KIAA0494	9813	1.1961	0.0254	KIAA0494
195	SGIP1	84251	1.1950	0.0023	SH3-domain GRB2-like (endophilin) interacting protein 1
196	PXDN	7837	1.1941	0.0085	peroxidasin homolog (Drosophila)
197	ARHGEF40	55701	1.1937	0.0049	Rho guanine nucleotide exchange factor (GEF) 40
198	ACVR1	90	1.1905	0.0383	activin A receptor, type I
199	APLP2	334	1.1905	0.0171	amyloid beta (A4) precursor-like protein 2
200	ZYG11B	79699	1.1904	0.0363	zyg-11 homolog B (C. elegans)
201	CYTH3	9265	1.1899	0.0040	cytohesin 3
202	LRRC17	10234	1.1899	0.0027	leucine rich repeat containing 17
203	GPR124	25960	1.1889	0.0225	G protein-coupled receptor 124
204	KAT2B	8850	1.1878	0.0165	K(lysine) acetyltransferase 2B
205	MAPK10	5602	1.1866	0.0095	mitogen-activated protein kinase 10
206	TNC	3371	1.1851	0.0069	tenascin C
207	AXL	558	1.1840	0.0184	AXL receptor tyrosine kinase
208	CFH	3075	1.1838	0.0084	complement factor H
209	USP4	7375	1.1829	0.0052	ubiquitin specific peptidase 4 (proto-oncogene)
210	FLJ42709	441094	1.1816	0.0046	uncharacterized LOC441094
211	SEPT11	55752	1.1803	0.0094	septin 11
212	WDR47	22911	1.1800	0.0353	WD repeat domain 47
213	DDR2	4921	1.1793	0.0149	discoidin domain receptor tyrosine kinase 2
214	IGFBP7	3490	1.1788	0.0212	insulin-like growth factor binding protein 7
215	PDZRN3	23024	1.1779	0.0020	PDZ domain containing ring finger 3
216	RFTN1	23180	1.1779	0.0059	raftlin, lipid raft linker 1
217	LPP	4026	1.1772	0.0135	LIM domain containing preferred translocation partner in lipoma
218	CAV2	858	1.1727	0.0156	caveolin 2
219	ITGBL1	9358	1.1727	0.0031	integrin, beta-like 1 (with EGF-like repeat domains)
220	AHR	196	1.1716	0.0193	aryl hydrocarbon receptor
221	STK17B	9262	1.1706	0.0190	serine/threonine kinase 17b
222	PPAP2B	8613	1.1694	0.0062	phosphatidic acid phosphatase type 2B
223	ADCY9	115	1.1691	0.0027	adenylate cyclase 9
224	DOCK10	55619	1.1679	0.0105	dedicator of cytokinesis 10
225	MYO1B	4430	1.1676	0.0057	myosin IB
226	SLC4A4	8671	1.1673	0.0138	solute carrier family 4, sodium bicarbonate cotransporter, member 4
227	NIPAL3	57185	1.1664	0.0061	NIPA-like domain containing 3
228	SDPR	8436	1.1638	0.0025	serum deprivation response
229	JAZF1	221895	1.1620	0.0060	JAZF zinc finger 1
230	ABCA8	10351	1.1619	0.0072	ATP-binding cassette, sub-family A (ABC1), member 8
231	AHNAK	79026	1.1610	0.0135	AHNAK nucleoprotein
232	TIMP2	7077	1.1608	0.0330	TIMP metallopeptidase inhibitor 2
233	GNG12	55970	1.1597	0.0139	guanine nucleotide binding protein (G protein), gamma 12
234	GLRB	2743	1.1595	0.0056	glycine receptor, beta
235	TRAK2	66008	1.1580	0.0087	trafficking protein, kinesin binding 2
236	MAP3K5	4217	1.1577	0.0050	mitogen-activated protein kinase kinase kinase 5
237	MICAL2	9645	1.1572	0.0043	microtubule associated monoxygenase, calponin and LIM domain containing 2
238	CDH13	1012	1.1563	0.0030	cadherin 13, H-cadherin (heart)
239	FAM172A	83989	1.1550	0.0263	family with sequence similarity 172, member A
240	PAMR1	25891	1.1533	0.0224	peptidase domain containing associated with muscle regeneration 1
241	REV3L	5980	1.1513	0.0588	REV3-like, polymerase (DNA directed), zeta, catalytic subunit
242	NID1	4811	1.1496	0.0119	nidogen 1
243	PTAR1	375743	1.1485	0.0434	protein prenyltransferase alpha subunit repeat containing 1
244	SPRED1	161742	1.1471	0.0133	sprouty-related, EVH1 domain containing 1
245	GNG2	54331	1.1469	0.0055	guanine nucleotide binding protein (G protein), gamma 2
246	TMEM204	79652	1.1456	0.0062	transmembrane protein 204
247	MICA	4276	1.1450	0.0006	MHC class I polypeptide-related sequence A
248	BACE1	23621	1.1445	0.0106	beta-site APP-cleaving enzyme 1
249	ZBTB4	57659	1.1432	0.0437	zinc finger and BTB domain containing 4
250	HCFC2	29915	1.1426	0.0321	host cell factor C2
251	SH3D19	152503	1.1408	0.0123	SH3 domain containing 19
252	STARD13	90627	1.1406	0.0039	StAR-related lipid transfer (START) domain containing 13
253	C7ORF60	154743	1.1403	0.0354	chromosome 7 open reading frame 60
254	LTBP1	4052	1.1401	0.0059	latent transforming growth factor beta binding protein 1
255	COL6A3	1293	1.1343	0.0136	collagen, type VI, alpha 3
256	C8ORF34	116328	1.1321	0.0004	chromosome 8 open reading frame 34
257	FAS	355	1.1319	0.0164	Fas (TNF receptor superfamily, member 6)
258	LAPTM4A	9741	1.1310	0.0509	lysosomal protein transmembrane 4 alpha
259	ADRB2	154	1.1301	0.0007	adrenoceptor beta 2, surface
260	ATP7A	538	1.1292	0.0118	ATPase, Cu++ transporting, alpha polypeptide
261	LAMB2	3913	1.1286	0.0456	laminin, beta 2 (laminin S)
262	MGLL	11343	1.1286	0.0039	monoglyceride lipase
263	CNTN3	5067	1.1281	0.0004	contactin 3 (plasmacytoma associated)
264	ARHGAP24	83478	1.1280	0.0069	Rho GTPase activating protein 24
265	GPR116	221395	1.1278	0.0078	G protein-coupled receptor 116
266	LSAMP	4045	1.1274	0.0036	limbic system-associated membrane protein
267	DAB2	1601	1.1218	0.0311	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)
268	FYCO1	79443	1.1195	0.0069	FYVE and coiled-coil domain containing 1
269	YPEL2	388403	1.1194	0.0320	yippee-like 2 (Drosophila)
270	SLC16A2	6567	1.1181	0.0055	solute carrier family 16, member 2 (thyroid hormone transporter)
271	NOTCH2	4853	1.1172	0.0100	notch 2
272	ZNF462	58499	1.1171	0.0046	zinc finger protein 462
273	DFNA5	1687	1.1152	0.0048	deafness, autosomal dominant 5
274	COL5A2	1290	1.1150	0.0197	collagen, type V, alpha 2
275	RCBTB2	1102	1.1149	0.0184	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
276	PPP1R3C	5507	1.1147	0.0052	protein phosphatase 1, regulatory subunit 3C
277	CAV1	857	1.1146	0.0153	caveolin 1, caveolae protein, 22kDa
278	PDE5A	8654	1.1142	0.0157	phosphodiesterase 5A, cGMP-specific
279	FN1	2335	1.1139	0.0230	fibronectin 1
280	FIBIN	387758	1.1137	0.0138	fin bud initiation factor homolog (zebrafish)
281	MATN3	4148	1.1130	0.0004	matrilin 3
282	FERMT2	10979	1.1124	0.0237	fermitin family member 2
283	VIM	7431	1.1110	0.0319	vimentin
284	CHN1	1123	1.1105	0.0043	chimerin (chimaerin) 1
285	PLS3	5358	1.1097	0.0189	plastin 3
286	SEC62	7095	1.1097	0.0678	SEC62 homolog (S. cerevisiae)
287	ZNF167	55888	1.1087	0.0038	zinc finger protein 167
288	ADAMTS1	9510	1.1075	0.0051	ADAM metallopeptidase with thrombospondin type 1 motif, 1
289	FAM129A	116496	1.1073	0.0030	family with sequence similarity 129, member A
290	THSD4	79875	1.1072	0.0088	thrombospondin, type I, domain containing 4
291	OLFML1	283298	1.1063	0.0186	olfactomedin-like 1
292	PLEKHM3	389072	1.1041	0.0341	pleckstrin homology domain containing, family M, member 3
293	INMT	11185	1.1038	0.0036	indolethylamine N-methyltransferase
294	MIER1	57708	1.1034	0.0503	mesoderm induction early response 1 homolog (Xenopus laevis)
295	PDE7B	27115	1.1024	0.0069	phosphodiesterase 7B
296	RAPGEF5	9771	1.1024	0.0018	Rap guanine nucleotide exchange factor (GEF) 5
297	IGFBP6	3489	1.1017	0.0157	insulin-like growth factor binding protein 6
298	CLIC4	25932	1.1008	0.0307	chloride intracellular channel 4
299	GRAMD3	65983	1.1002	0.0061	GRAM domain containing 3
300	TRAM1	23471	1.0995	0.0642	translocation associated membrane protein 1
301	ATP8B2	57198	1.0992	0.0057	ATPase, aminophospholipid transporter, class I, type 8B, member 2
302	CTTNBP2NL	55917	1.0980	0.0200	CTTNBP2 N-terminal like
303	RAPH1	65059	1.0966	0.0085	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
304	PTGFR	5737	1.0964	0.0014	prostaglandin F receptor (FP)
305	LOXL4	84171	1.0963	0.0049	lysyl oxidase-like 4
306	HTRA1	5654	1.0956	0.0345	HtrA serine peptidase 1
307	RBM43	375287	1.0949	0.0092	RNA binding motif protein 43
308	PRNP	5621	1.0934	0.0242	prion protein
309	SESTD1	91404	1.0934	0.0137	SEC14 and spectrin domains 1
310	MYOF	26509	1.0933	0.0264	myoferlin
311	FBXL7	23194	1.0931	0.0111	F-box and leucine-rich repeat protein 7
312	IRS1	3667	1.0925	0.0018	insulin receptor substrate 1
313	ZSWIM6	57688	1.0904	0.0271	zinc finger, SWIM-type containing 6
314	QKI	9444	1.0903	0.0262	QKI, KH domain containing, RNA binding
315	FZD6	8323	1.0889	0.0096	frizzled family receptor 6
316	MSN	4478	1.0885	0.0409	moesin
317	SYNC	81493	1.0876	0.0044	syncoilin, intermediate filament protein
318	SLC16A7	9194	1.0864	0.0013	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)
319	DSEL	92126	1.0852	0.0043	dermatan sulfate epimerase-like
320	TNFRSF19	55504	1.0845	0.0007	tumor necrosis factor receptor superfamily, member 19
321	RHOJ	57381	1.0839	0.0299	ras homolog family member J
322	KIAA0247	9766	1.0832	0.0400	KIAA0247
323	MAN1C1	57134	1.0829	0.0081	mannosidase, alpha, class 1C, member 1
324	FRY	10129	1.0823	0.0080	furry homolog (Drosophila)
325	KIDINS220	57498	1.0823	0.0833	kinase D-interacting substrate, 220kDa
326	SLC9A6	10479	1.0812	0.0242	solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6
327	PLEKHH2	130271	1.0802	0.0116	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2
328	LOXL1	4016	1.0801	0.0143	lysyl oxidase-like 1
329	ZNF654	55279	1.0789	0.0616	zinc finger protein 654
330	FLNA	2316	1.0789	0.0560	filamin A, alpha
331	CCPG1	9236	1.0785	0.0700	cell cycle progression 1
332	MGP	4256	1.0780	0.0098	matrix Gla protein
333	NEK7	140609	1.0776	0.0728	NIMA (never in mitosis gene a)-related kinase 7
334	ZNF608	57507	1.0760	0.0029	zinc finger protein 608
335	TPST1	8460	1.0755	0.0102	tyrosylprotein sulfotransferase 1
336	LMCD1	29995	1.0750	0.0076	LIM and cysteine-rich domains 1
337	DSE	29940	1.0748	0.0378	dermatan sulfate epimerase
338	SLC40A1	30061	1.0740	0.0118	solute carrier family 40 (iron-regulated transporter), member 1
339	C1ORF198	84886	1.0732	0.0044	chromosome 1 open reading frame 198
340	UST	10090	1.0723	0.0006	uronyl-2-sulfotransferase
341	TMEM119	338773	1.0717	0.0091	transmembrane protein 119
342	ST3GAL5	8869	1.0713	0.0034	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
343	CTDSPL	10217	1.0706	0.0059	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
344	PHKB	5257	1.0695	0.0704	phosphorylase kinase, beta
345	FAM13B	51306	1.0689	0.0791	family with sequence similarity 13, member B
346	ZNF136	7695	1.0682	0.0152	zinc finger protein 136
347	FOXF1	2294	1.0681	0.0029	forkhead box F1
348	NAP1L3	4675	1.0680	0.0113	nucleosome assembly protein 1-like 3
349	TMEM133	83935	1.0673	0.0031	transmembrane protein 133
350	SRPX	8406	1.0654	0.0194	sushi-repeat containing protein, X-linked
351	TBC1D9	23158	1.0648	0.0131	TBC1 domain family, member 9 (with GRAM domain)
352	ARRDC3	57561	1.0645	0.0216	arrestin domain containing 3
353	LOX	4015	1.0643	0.0179	lysyl oxidase
354	ATXN1	6310	1.0643	0.0320	ataxin 1
355	GJA1	2697	1.0625	0.0056	gap junction protein, alpha 1, 43kDa
356	ZNF506	440515	1.0622	0.0106	zinc finger protein 506
357	ANKRD13C	81573	1.0620	0.1247	ankyrin repeat domain 13C
358	SPON1	10418	1.0620	0.0133	spondin 1, extracellular matrix protein
359	HERC1	8925	1.0607	0.0530	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
360	SH3PXD2A	9644	1.0605	0.0128	SH3 and PX domains 2A
361	FGF7	2252	1.0602	0.0047	fibroblast growth factor 7
362	PDGFD	80310	1.0599	0.0064	platelet derived growth factor D
363	EPHA4	2043	1.0592	0.0027	EPH receptor A4
364	KIAA0430	9665	1.0589	0.0765	KIAA0430
365	ADD1	118	1.0578	0.0498	adducin 1 (alpha)
366	PHACTR2	9749	1.0576	0.0115	phosphatase and actin regulator 2
367	CREBRF	153222	1.0564	0.0973	CREB3 regulatory factor
368	FBXL3	26224	1.0551	0.0809	F-box and leucine-rich repeat protein 3
369	FEZ2	9637	1.0547	0.0335	fasciculation and elongation protein zeta 2 (zygin II)
370	NUAK1	9891	1.0543	0.0129	NUAK family, SNF1-like kinase, 1
371	SMARCA2	6595	1.0542	0.0333	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
372	GAB1	2549	1.0540	0.0268	GRB2-associated binding protein 1
373	CD59	966	1.0539	0.0332	CD59 molecule, complement regulatory protein
374	LIMA1	51474	1.0529	0.0126	LIM domain and actin binding 1
375	TAGLN	6876	1.0519	0.0251	transgelin
376	SASH1	23328	1.0515	0.0165	SAM and SH3 domain containing 1
377	TMEM30A	55754	1.0510	0.1143	transmembrane protein 30A
378	FAM214A	56204	1.0503	0.0789	family with sequence similarity 214, member A
379	GUCY1B3	2983	1.0501	0.0049	guanylate cyclase 1, soluble, beta 3
